date,o0900,p10,c1330,hi_am,lo_am,pm_drift,full,sox,yr,pnl
2008-11-19,4305.18,4278.44,4284.09,4320.85,4234.75,5.650000000000546,-21.090000000000146,-0.01956877171469451,2008,21.090000000000146
2008-11-24,4171.1,4095.36,4160.54,4171.1,4092.77,65.17999999999984,-10.5600000000004,0.051949568059771245,2008,-65.17999999999984
2008-11-25,4160.54,4277.58,4266.49,4283.58,4160.54,-11.090000000000146,105.94999999999982,0.060925535456664015,2008,11.090000000000146
2008-11-27,4271.8,4407.43,4453.75,4428.28,4271.8,46.31999999999971,181.94999999999982,0.0763554700032083,2008,-46.31999999999971
2008-11-28,4453.75,4449.04,4460.49,4476.33,4419.03,11.449999999999818,6.739999999999782,0.0763554700032083,2008,-11.449999999999818
2008-12-01,4460.49,4445.05,4518.43,4472.37,4418.24,73.38000000000011,57.94000000000051,-0.015201192250372642,2008,-57.94000000000051
2008-12-03,4356.98,4364.51,4307.26,4379.25,4321.32,-57.25,-49.719999999999345,0.005087956698240914,2008,-49.719999999999345
2008-12-04,4307.26,4331.62,4254.96,4347.66,4307.26,-76.65999999999985,-52.30000000000018,0.0666702568797457,2008,76.65999999999985
2008-12-08,4225.07,4385.93,4418.33,4383.99,4225.07,32.399999999999636,193.26000000000022,0.03171881697385359,2008,-32.399999999999636
2008-12-09,4418.33,4482.58,4472.66,4499.98,4418.33,-9.920000000000073,54.32999999999993,0.01864353967594523,2008,54.32999999999993
2008-12-10,4472.66,4564.73,4658.87,4591.61,4470.73,94.14000000000033,186.21000000000004,0.04843232220239613,2008,-94.14000000000033
2008-12-11,4658.87,4662.92,4655.57,4681.24,4617.17,-7.350000000000364,-3.300000000000182,0.014198881594942758,2008,-3.300000000000182
2008-12-15,4481.27,4648.27,4613.72,4676.46,4481.27,-34.55000000000018,132.44999999999982,0.04705708806608633,2008,34.55000000000018
2008-12-16,4613.72,4554.03,4616.89,4613.72,4532.41,62.86000000000058,3.1700000000000728,-0.01746970977740203,2008,-3.1700000000000728
2008-12-17,4616.89,4691.88,4648.02,4715.15,4616.89,-43.85999999999967,31.13000000000011,0.05878979065098955,2008,43.85999999999967
2008-12-22,4694.52,4717.44,4535.54,4750.96,4694.52,-181.89999999999964,-158.98000000000047,0.013831060062216016,2008,-158.98000000000047
2008-12-25,4423.09,4416.87,4413.45,4434.43,4396.34,-3.4200000000000728,-9.640000000000327,0.010056255289490723,2008,-9.640000000000327
2008-12-26,4413.45,4443.74,4425.08,4441.9,4396.26,-18.659999999999854,11.63000000000011,0.010056255289490723,2008,11.63000000000011
2008-12-31,4589.04,4604.29,4591.22,4627.98,4581.22,-13.069999999999709,2.180000000000291,0.046100519930675876,2008,13.069999999999709
2009-01-05,4591.22,4749.72,4698.31,4778.52,4591.22,-51.409999999999854,107.09000000000015,0.04590658434274397,2009,51.409999999999854
2009-01-06,4698.31,4722.21,4727.26,4726.05,4679.43,5.050000000000182,28.949999999999818,0.0062187373259430245,2009,28.949999999999818
2009-01-07,4727.26,4763.3,4789.84,4817.44,4727.26,26.539999999999964,62.57999999999993,0.0504724797348739,2009,-26.539999999999964
2009-01-14,4532.36,4559.79,4521.47,4566.88,4530.73,-38.31999999999971,-10.889999999999418,0.008178687583699995,2009,-10.889999999999418
2009-01-16,4320.77,4364.9,4353.7,4382.43,4320.77,-11.199999999999818,32.92999999999938,0.025048264937379328,2009,11.199999999999818
2009-01-17,4353.7,4363.11,4366.1,4382.86,4353.7,2.990000000000691,12.400000000000546,0.03549524315448882,2009,-2.990000000000691
2009-01-19,4366.1,4388.13,4366.76,4389.22,4366.1,-21.36999999999989,0.6599999999998545,0.03549524315448882,2009,21.36999999999989
2009-01-20,4366.76,4268.99,4242.61,4366.76,4269.95,-26.38000000000011,-124.15000000000055,0.03549524315448882,2009,26.38000000000011
2009-02-02,4247.97,4269.57,4259.98,4284.09,4240.08,-9.590000000000146,12.009999999999309,-0.019168275797108336,2009,-12.009999999999309
2009-02-03,4259.98,4341.8,4372.81,4346.85,4259.98,31.01000000000022,112.83000000000084,0.010851819840584032,2009,112.83000000000084
2009-02-04,4372.81,4401.89,4389.97,4422.56,4372.81,-11.920000000000073,17.159999999999854,0.0014725441763252523,2009,17.159999999999854
2009-02-05,4389.97,4386.53,4363.25,4398.39,4380.73,-23.279999999999745,-26.720000000000255,0.009106863349618077,2009,-26.720000000000255
2009-02-06,4363.25,4485.45,4471.25,4503.25,4363.25,-14.199999999999818,108.0,0.04023501762632198,2009,14.199999999999818
2009-02-09,4471.25,4543.44,4494.59,4574.74,4471.25,-48.849999999999454,23.340000000000146,0.03556097781392609,2009,48.849999999999454
2009-02-12,4575.95,4590.69,4466.42,4594.75,4543.68,-124.26999999999953,-109.52999999999975,-0.010214880596328135,2009,109.52999999999975
2009-02-13,4466.42,4531.72,4592.5,4538.44,4466.42,60.779999999999745,126.07999999999993,0.01297010831667511,2009,126.07999999999993
2009-02-16,4592.5,4598.51,4591.26,4607.97,4575.98,-7.25,-1.2399999999997817,0.012161541991739355,2009,-1.2399999999997817
2009-02-17,4591.26,4502.89,4491.78,4591.26,4482.89,-11.110000000000582,-99.48000000000047,0.012161541991739355,2009,-99.48000000000047
2009-02-19,4498.37,4468.03,4528.87,4498.37,4433.43,60.840000000000146,30.5,0.0048088599601689985,2009,30.5
2009-02-23,4436.94,4459.84,4477.78,4454.41,4371.02,17.9399999999996,40.840000000000146,0.00606864195012502,2009,40.840000000000146
2009-02-25,4430.18,4520.95,4493.74,4537.32,4430.18,-27.210000000000036,63.55999999999949,0.05282639733488437,2009,27.210000000000036
2009-02-26,4493.74,4538.14,4518.56,4556.82,4493.74,-19.579999999999927,24.82000000000062,0.029984932194876857,2009,19.579999999999927
2009-02-27,4518.56,4522.28,4557.15,4537.39,4507.39,34.86999999999989,38.589999999999236,-0.017554981225922806,2009,-38.589999999999236
2009-03-02,4557.15,4474.35,4425.83,4557.15,4475.78,-48.52000000000044,-131.3199999999997,-0.012259889809897229,2009,131.3199999999997
2009-03-04,4435.34,4481.84,4541.42,4483.62,4429.51,59.57999999999993,106.07999999999993,0.013335450071439992,2009,106.07999999999993
2009-03-05,4541.42,4626.05,4637.2,4677.89,4541.42,11.149999999999636,95.77999999999975,0.04585095827458363,2009,-11.149999999999636
2009-03-06,4637.2,4634.7,4653.63,4644.75,4597.89,18.93000000000029,16.43000000000029,-0.015079642482648481,2009,-16.43000000000029
2009-03-09,4653.63,4599.88,4628.24,4660.13,4578.05,28.359999999999673,-25.390000000000327,-0.011356147021546303,2009,25.390000000000327
2009-03-11,4671.02,4766.23,4759.96,4793.63,4671.02,-6.269999999999527,88.9399999999996,0.08069512259148426,2009,6.269999999999527
2009-03-12,4759.96,4766.24,4754.65,4794.94,4751.31,-11.590000000000146,-5.3100000000004,0.02030703458997274,2009,11.590000000000146
2009-03-13,4754.65,4847.31,4897.39,4852.56,4754.65,50.07999999999993,142.7400000000007,0.03499666698409665,2009,-50.07999999999993
2009-03-16,4897.39,4935.06,4971.32,4945.19,4897.39,36.25999999999931,73.92999999999938,0.012605235313060792,2009,73.92999999999938
2009-03-18,5041.39,5054.74,5047.54,5074.94,5023.21,-7.199999999999818,6.149999999999636,0.04124245852187025,2009,7.199999999999818
2009-03-19,5047.54,5098.93,5035.93,5107.95,5047.54,-63.0,-11.609999999999673,0.03444841790774533,2009,63.0
2009-03-24,5124.18,5230.83,5242.18,5264.94,5124.18,11.350000000000364,118.0,0.0672580128937863,2009,-11.350000000000364
2009-03-25,5242.18,5257.73,5346.38,5276.12,5226.49,88.65000000000055,104.19999999999982,-0.019749807214463178,2009,-104.19999999999982
2009-03-26,5346.38,5396.49,5386.56,5413.61,5346.38,-9.929999999999382,40.18000000000029,0.006162318080503493,2009,40.18000000000029
2009-03-27,5386.56,5425.76,5390.7,5468.49,5386.56,-35.0600000000004,4.139999999999418,0.06493788550082535,2009,35.0600000000004
2009-03-30,5390.7,5268.26,5206.05,5390.7,5268.05,-62.210000000000036,-184.64999999999964,-0.015703389484847174,2009,184.64999999999964
2009-04-01,5210.84,5325.05,5314.45,5323.74,5210.84,-10.600000000000364,103.60999999999967,0.006363042057093038,2009,103.60999999999967
2009-04-02,5314.45,5423.84,5473.78,5444.42,5314.45,49.9399999999996,159.32999999999993,0.012255857260404568,2009,159.32999999999993
2009-04-03,5473.78,5524.36,5529.63,5558.92,5473.78,5.270000000000437,55.850000000000364,0.04338153503893216,2009,-5.270000000000437
2009-04-06,5529.63,5574.11,5556.22,5603.14,5529.63,-17.889999999999418,26.590000000000146,0.029358701000492093,2009,17.889999999999418
2009-04-09,5443.56,5559.52,5667.8,5563.81,5443.56,108.27999999999975,224.23999999999978,0.028910555320050824,2009,-108.27999999999975
2009-04-10,5667.8,5722.38,5781.96,5788.21,5667.8,59.57999999999993,114.15999999999985,0.04816249176005272,2009,-59.57999999999993
2009-04-13,5781.96,5830.99,5857.64,5843.61,5781.96,26.650000000000546,75.68000000000029,0.04816249176005272,2009,-26.650000000000546
