date,yr,sox,pnl
2024-12-26,2024,0.0107076923076923,-38.0
2024-12-27,2024,0.0003382583752773,173.0
2024-12-30,2024,-0.0101134038347461,37.0
2024-12-31,2024,-0.0188289215045178,-42.0
2025-01-03,2025,0.008347506892667,58.0
2025-01-06,2025,0.028308274419994,-187.0
2025-01-07,2025,0.0283694673341532,173.0
2025-01-08,2025,-0.0184345422154595,97.0
2025-01-15,2025,0.0051613134556696,-270.0
2025-01-16,2025,0.0213478135930795,-9.0
2025-01-17,2025,0.0018025989246497,-85.0
2025-01-20,2025,0.0284294280800161,-12.0
2025-01-21,2025,0.0284294280800161,-70.0
2025-01-22,2025,0.0129497866185539,103.0
2025-02-04,2025,-0.0181504630321879,92.0
2025-02-05,2025,0.0105141112042901,66.0
2025-02-06,2025,0.023090107885118,23.0
2025-02-07,2025,0.0002140822940195,137.0
2025-02-10,2025,-0.0163472810495248,74.0
2025-02-11,2025,0.0146386549924739,-45.0
2025-02-13,2025,0.0021299338381919,-34.0
2025-02-14,2025,0.0128860157264394,-159.0
2025-02-17,2025,0.0008824002839193,207.0
2025-02-18,2025,0.0008824002839193,93.0
2025-02-19,2025,0.016841893143497,39.0
2025-02-20,2025,0.0117819454025069,17.0
2025-02-21,2025,0.0001770348174752,216.0
2025-02-27,2025,0.0208514015480028,142.0
2025-03-03,2025,0.01706939777031,72.0
2025-03-05,2025,0.0063688838279747,250.0
2025-03-06,2025,0.0209099339560561,64.0
2025-03-10,2025,0.0315830520182269,-12.0
2025-03-13,2025,0.0244509118509765,451.0
2025-03-17,2025,0.0326840682289748,117.0
2025-03-18,2025,0.0141732934097882,-144.0
2025-03-19,2025,-0.0160678563541362,201.0
2025-03-20,2025,0.0099149493465939,126.0
2025-03-25,2025,0.0298972125626653,12.0
2025-04-02,2025,0.0028170465269303,39.0
2025-04-08,2025,0.027042577675489,233.0
2025-04-10,2025,0.1873480889377872,-2.0
2025-04-14,2025,0.0250687077800322,153.0
2025-04-15,2025,0.0030870229772732,206.0
2025-04-16,2025,0.0046637456847238,-259.0
2025-04-23,2025,0.0213597874149433,-184.0
2025-04-24,2025,0.0396315288161688,70.0
2025-04-25,2025,0.0562938010803428,51.0
2025-04-28,2025,0.0103179751864816,-12.0
2025-05-02,2025,0.0041535759286444,205.0
2025-05-05,2025,0.0351699523973199,-51.0
2025-05-07,2025,-0.0103255604681167,53.0
2025-05-08,2025,0.0174336611616254,102.0
2025-05-09,2025,0.0100493347559251,193.0
2025-05-12,2025,0.0081391464504654,58.0
2025-05-13,2025,0.0703974028881675,92.0
2025-05-14,2025,0.0314624978822111,-98.0
2025-05-15,2025,0.0059578006022689,-88.0
2025-05-22,2025,-0.0180073526104219,-52.0
2025-05-26,2025,-0.0153052997924811,62.0
2025-05-27,2025,-0.0153052997924811,164.0
2025-05-28,2025,0.0337509941774165,63.0
2025-06-03,2025,0.0157059810090667,-54.0
2025-06-04,2025,0.0272347857034962,-38.0
2025-06-05,2025,0.0138868465739132,-38.0
2025-06-09,2025,0.0054161710823561,57.0
2025-06-10,2025,0.0195710253549976,244.0
2025-06-11,2025,0.0206048288187266,-91.0
2025-06-13,2025,0.0031762837480147,-39.0
2025-06-17,2025,0.0303311268641535,62.0
2025-06-19,2025,0.0052396312922957,-118.0
2025-06-20,2025,0.0052396312922957,17.0
2025-06-24,2025,0.0062976352207051,200.0
2025-06-25,2025,0.03767328337433,-102.0
2025-06-26,2025,0.0094507954067259,-55.0
2025-06-27,2025,0.0087670434893414,-81.0
2025-06-30,2025,0.0006370162375979,-96.0
2025-07-01,2025,0.000279531613222,156.0
2025-07-03,2025,0.0188016341352701,107.0
2025-07-04,2025,0.006428386843817,-315.0
2025-07-07,2025,0.006428386843817,-11.0
2025-07-08,2025,-0.0187564634716457,83.0
2025-07-09,2025,0.0180502418248755,178.0
2025-07-10,2025,0.0043908941682826,143.0
2025-07-11,2025,0.0074638324458744,250.0
2025-07-16,2025,0.0127312847104159,211.0
2025-07-18,2025,0.0072732571306184,-94.0
2025-07-22,2025,0.0011861940962423,-261.0
2025-07-23,2025,-0.0175470692160532,-199.0
2025-07-25,2025,0.0011671239971691,-21.0
2025-07-28,2025,0.0002639798595769,24.0
2025-07-29,2025,0.0161605140758007,-173.0
2025-07-30,2025,0.0004688780045667,147.0
2025-07-31,2025,0.0082807907606374,110.0
2025-08-04,2025,-0.0143208177006805,-154.0
2025-08-05,2025,0.0175120893116556,139.0
2025-08-06,2025,-0.011151391879326,-13.0
2025-08-08,2025,0.0150262147991999,-130.0
2025-08-11,2025,0.0078669435717202,192.0
